Asignatura;Session_1;Session_2;Session_3;Session_4
Arquitectura de Computadores;1;1;0;1
Comunicaciones 2;1;1;2;1
Electiva iii;42;45;32;32
Gestión de redes;2;3;3;2
Investigación de Operaciones;3;3;1;1
Telematica;0;2;2;0
Transmisión de Datos;12;11;12;10
inteligencia computacional;24;22;21;17
matemáticas discretas;1;1;0;1
redes de datos;1;1;0;0
semillero seguridad telematics ;1;0;0;0
semillero telematics;0;0;1;0
 ciberseguridad - gestión de redes;1;0;1;1
sistemas operativos ;1;1;1;0
trasmisión de datos;1;1;1;1
